sentence,entities
Email sent by David on 2023-11-30 from IP 198.51.100.120 with token key abc123def456ghi789jkl012mno345pq.,"[(14, 19, 'PER'), (23, 33, 'DATE'), (39, 52, 'IP-Address'), (63, 99, 'Token keys')]"
Server at location Rome (LOC) with IP 10.10.10.13 generated token key abcdef1234567890abcdef1234567890 on 2024-07-22.,"[(22, 26, 'LOC'), (32, 43, 'IP-Address'), (60, 96, 'Token keys'), (100, 110, 'DATE')]"
Backup size of 1024GB completed on 2024-03-20 from IP 192.168.1.20 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(15, 19, 'QUANTITY'), (29, 39, 'DATE'), (45, 56, 'IP-Address'), (67, 103, 'Token keys')]"
User with ID 98765 logged in from IP 8.8.8.4 on 2024-03-15 using token key 1234abcd5678efgh9012ijkl3456mnop.,"[(13, 18, 'CARDINAL'), (39, 46, 'IP-Address'), (50, 60, 'DATE'), (71, 107, 'Token keys')]"
Translator Laura used the language Finnish on 2024-02-20 to process data from IP 192.168.0.220 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(11, 16, 'PER'), (30, 37, 'LANGUAGE'), (41, 51, 'DATE'), (69, 82, 'IP-Address'), (93, 129, 'Token keys')]"
The device with IP fe80::abcd:1234:5678:9abe was assigned token key 0f1e2d3c4b5a69788776655443322110 on 2024-06-20.,"[(17, 48, 'IP-Address'), (69, 101, 'Token keys'), (105, 115, 'DATE')]"
Company 'GammaTech' transferred $2000 from IP 198.51.100.55 with token key abcdefabcdefabcdefabcdefabcdefab on 2024-05-20.,"[(8, 18, 'ORG'), (33, 37, 'MONEY'), (43, 54, 'IP-Address'), (71, 107, 'Token keys'), (111, 121, 'DATE')]"
IP 10.20.40.40 was allocated to device with token key 1234567890abcdef1234567890abcdef on 2024-07-25.,"[(3, 13, 'IP-Address'), (44, 80, 'Token keys'), (84, 94, 'DATE')]"
Server 'Delta' in location Paris (LOC) with IP 172.16.254.40 issued token key 1a2b3c4d5e6f7g8h9i0jklmnopqrst on 2024-08-30.,"[(8, 13, 'MISC'), (27, 32, 'LOC'), (42, 55, 'IP-Address'), (72, 108, 'Token keys'), (112, 122, 'DATE')]"
User Olivia speaks Norwegian and logged in on 2023-09-25 from IP 203.0.113.100 with token key abcdefabcdefabcdefabcdefabcdefab.,"[(5, 11, 'PER'), (19, 27, 'LANGUAGE'), (41, 51, 'DATE'), (57, 68, 'IP-Address'), (79, 115, 'Token keys')]"
File transfer of 850MB completed on 2024-01-20 from IP 192.0.2.20 using token key 123456abcdef7890123456abcdef7890.,"[(18, 22, 'QUANTITY'), (32, 42, 'DATE'), (48, 57, 'IP-Address'), (69, 105, 'Token keys')]"
Device with IP 2404:6800:4003:c03::8a2e:370:7338 logged event on 5th hour using token key 0a1b2c3d4e5f6g7h8i9jklmnopqrstuvw.,"[(14, 44, 'IP-Address'), (60, 62, 'ORDINAL'), (79, 115, 'Token keys')]"
Email sent by Sophia on 2023-12-05 from IP 198.51.100.130 with token key abc123def456ghi789jkl012mno345pq.,"[(14, 20, 'PER'), (24, 34, 'DATE'), (40, 53, 'IP-Address'), (64, 100, 'Token keys')]"
Server at location Berlin with IP 10.10.10.14 generated token key abcdef1234567890abcdef1234567890 on 2024-07-30.,"[(22, 28, 'LOC'), (34, 45, 'IP-Address'), (62, 98, 'Token keys'), (102, 112, 'DATE')]"
Backup size of 2048GB completed on 2024-03-25 from IP 192.168.1.25 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(15, 19, 'QUANTITY'), (29, 39, 'DATE'), (45, 56, 'IP-Address'), (67, 103, 'Token keys')]"
User with ID 11223 logged in from IP 8.8.8.5 on 2024-03-20 using token key 1234abcd5678efgh9012ijkl3456mnop.,"[(13, 18, 'CARDINAL'), (39, 46, 'IP-Address'), (50, 60, 'DATE'), (71, 107, 'Token keys')]"
Translator Lucas used the language Danish on 2024-02-25 to process data from IP 192.168.0.230 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(11, 16, 'PER'), (30, 36, 'LANGUAGE'), (40, 50, 'DATE'), (68, 81, 'IP-Address'), (92, 128, 'Token keys')]"
The device with IP fe80::abcd:1234:5678:9abf was assigned token key 0f1e2d3c4b5a69788776655443322110 on 2024-06-25.,"[(17, 48, 'IP-Address'), (69, 101, 'Token keys'), (105, 115, 'DATE')]"
Company 'DeltaTech' transferred $2200 from IP 198.51.100.65 with token key abcdefabcdefabcdefabcdefabcdefab on 2024-05-25.,"[(8, 18, 'ORG'), (33, 37, 'MONEY'), (43, 54, 'IP-Address'), (71, 107, 'Token keys'), (111, 121, 'DATE')]"
IP 10.20.50.50 was allocated to device with token key 1234567890abcdef1234567890abcdef on 2024-07-30.,"[(3, 13, 'IP-Address'), (44, 80, 'Token keys'), (84, 94, 'DATE')]"
Server 'Epsilon' in location Vienna with IP 172.16.254.50 issued token key 1a2b3c4d5e6f7g8h9i0jklmnopqrst on 2024-09-01.,"[(8, 15, 'MISC'), (29, 35, 'LOC'), (45, 58, 'IP-Address'), (75, 111, 'Token keys'), (115, 125, 'DATE')]"
User Mia speaks Finnish and logged in on 2023-10-01 from IP 203.0.113.110 with token key abcdefabcdefabcdefabcdefabcdefab.,"[(5, 8, 'PER'), (15, 22, 'LANGUAGE'), (36, 46, 'DATE'), (52, 63, 'IP-Address'), (74, 110, 'Token keys')]"
File transfer of 950MB completed on 2024-01-25 from IP 192.0.2.25 using token key 123456abcdef7890123456abcdef7890.,"[(18, 22, 'QUANTITY'), (32, 42, 'DATE'), (48, 57, 'IP-Address'), (69, 105, 'Token keys')]"
Device with IP 2404:6800:4003:c03::8a2e:370:7339 logged event on 6th hour using token key 0a1b2c3d4e5f6g7h8i9jklmnopqrstuvw.,"[(14, 44, 'IP-Address'), (60, 62, 'ORDINAL'), (79, 115, 'Token keys')]"
Email sent by Liam on 2023-12-10 from IP 198.51.100.140 with token key abc123def456ghi789jkl012mno345pq.,"[(14, 18, 'PER'), (22, 32, 'DATE'), (38, 51, 'IP-Address'), (62, 98, 'Token keys')]"
Server at location Madrid with IP 10.10.10.15 generated token key abcdef1234567890abcdef1234567890 on 2024-08-01.,"[(22, 28, 'LOC'), (34, 45, 'IP-Address'), (62, 98, 'Token keys'), (102, 112, 'DATE')]"
Backup size of 3072GB completed on 2024-03-30 from IP 192.168.1.30 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(15, 19, 'QUANTITY'), (29, 39, 'DATE'), (45, 56, 'IP-Address'), (67, 103, 'Token keys')]"
User with ID 13579 logged in from IP 8.8.8.6 on 2024-03-25 using token key 1234abcd5678efgh9012ijkl3456mnop.,"[(13, 18, 'CARDINAL'), (39, 46, 'IP-Address'), (50, 60, 'DATE'), (71, 107, 'Token keys')]"
Translator Eva used the language Norwegian on 2024-03-01 to process data from IP 192.168.0.240 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(11, 14, 'PER'), (28, 36, 'LANGUAGE'), (40, 50, 'DATE'), (68, 81, 'IP-Address'), (92, 128, 'Token keys')]"
The device with IP fe80::abcd:1234:5678:9ac0 was assigned token key 0f1e2d3c4b5a69788776655443322110 on 2024-06-30.,"[(17, 48, 'IP-Address'), (69, 101, 'Token keys'), (105, 115, 'DATE')]"
Company 'EpsilonTech' transferred $2500 from IP 198.51.100.75 with token key abcdefabcdefabcdefabcdefabcdefab on 2024-05-30.,"[(8, 20, 'ORG'), (35, 39, 'MONEY'), (45, 56, 'IP-Address'), (73, 109, 'Token keys'), (113, 123, 'DATE')]"
IP 10.20.60.60 was allocated to device with token key 1234567890abcdef1234567890abcdef on 2024-08-05.,"[(3, 13, 'IP-Address'), (44, 80, 'Token keys'), (84, 94, 'DATE')]"
Server 'Zeta' in location Amsterdam with IP 172.16.254.60 issued token key 1a2b3c4d5e6f7g8h9i0jklmnopqrst on 2024-09-05.,"[(8, 12, 'MISC'), (26, 35, 'LOC'), (45, 58, 'IP-Address'), (75, 111, 'Token keys'), (115, 125, 'DATE')]"
User Noah speaks Danish and logged in on 2023-10-05 from IP 203.0.113.120 with token key abcdefabcdefabcdefabcdefabcdefab.,"[(5, 9, 'PER'), (16, 22, 'LANGUAGE'), (36, 46, 'DATE'), (52, 63, 'IP-Address'), (74, 110, 'Token keys')]"
File transfer of 1000MB completed on 2024-01-30 from IP 192.0.2.30 using token key 123456abcdef7890123456abcdef7890.,"[(18, 22, 'QUANTITY'), (32, 42, 'DATE'), (48, 57, 'IP-Address'), (69, 105, 'Token keys')]"
Device with IP 2404:6800:4003:c03::8a2e:370:7340 logged event on 7th hour using token key 0a1b2c3d4e5f6g7h8i9jklmnopqrstuvw.,"[(14, 44, 'IP-Address'), (60, 62, 'ORDINAL'), (79, 115, 'Token keys')]"
Email sent by Ethan on 2023-12-15 from IP 198.51.100.150 with token key abc123def456ghi789jkl012mno345pq.,"[(14, 19, 'PER'), (23, 33, 'DATE'), (39, 52, 'IP-Address'), (63, 99, 'Token keys')]"
Server at location Lisbon with IP 10.10.10.16 generated token key abcdef1234567890abcdef1234567890 on 2024-08-05.,"[(22, 28, 'LOC'), (34, 45, 'IP-Address'), (62, 98, 'Token keys'), (102, 112, 'DATE')]"
Backup size of 4096GB completed on 2024-04-01 from IP 192.168.1.35 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(15, 19, 'QUANTITY'), (29, 39, 'DATE'), (45, 56, 'IP-Address'), (67, 103, 'Token keys')]"
User with ID 24680 logged in from IP 8.8.8.7 on 2024-03-30 using token key 1234abcd5678efgh9012ijkl3456mnop.,"[(13, 18, 'CARDINAL'), (39, 46, 'IP-Address'), (50, 60, 'DATE'), (71, 107, 'Token keys')]"
Translator Noah used the language Swedish on 2024-03-05 to process data from IP 192.168.0.250 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(11, 15, 'PER'), (29, 36, 'LANGUAGE'), (40, 50, 'DATE'), (68, 81, 'IP-Address'), (92, 128, 'Token keys')]"
The device with IP fe80::abcd:1234:5678:9ac1 was assigned token key 0f1e2d3c4b5a69788776655443322110 on 2024-07-01.,"[(17, 48, 'IP-Address'), (69, 101, 'Token keys'), (105, 115, 'DATE')]"
Company 'ZetaTech' transferred $2700 from IP 198.51.100.85 with token key abcdefabcdefabcdefabcdefabcdefab on 2024-06-01.,"[(8, 18, 'ORG'), (33, 37, 'MONEY'), (43, 54, 'IP-Address'), (71, 107, 'Token keys'), (111, 121, 'DATE')]"
IP 10.20.70.70 was allocated to device with token key 1234567890abcdef1234567890abcdef on 2024-08-10.,"[(3, 13, 'IP-Address'), (44, 80, 'Token keys'), (84, 94, 'DATE')]"
Server 'Theta' in location Brussels with IP 172.16.254.70 issued token key 1a2b3c4d5e6f7g8h9i0jklmnopqrst on 2024-09-10.,"[(8, 13, 'MISC'), (27, 34, 'LOC'), (44, 57, 'IP-Address'), (74, 110, 'Token keys'), (114, 124, 'DATE')]"
User Ava speaks Dutch and logged in on 2023-10-10 from IP 203.0.113.130 with token key abcdefabcdefabcdefabcdefabcdefab.,"[(5, 8, 'PER'), (15, 20, 'LANGUAGE'), (34, 44, 'DATE'), (50, 61, 'IP-Address'), (72, 108, 'Token keys')]"
File transfer of 1100MB completed on 2024-02-01 from IP 192.0.2.35 using token key 123456abcdef7890123456abcdef7890.,"[(18, 22, 'QUANTITY'), (32, 42, 'DATE'), (48, 57, 'IP-Address'), (69, 105, 'Token keys')]"
Device with IP 2404:6800:4003:c03::8a2e:370:7341 logged event on 8th hour using token key 0a1b2c3d4e5f6g7h8i9jklmnopqrstuvw.,"[(14, 44, 'IP-Address'), (60, 62, 'ORDINAL'), (79, 115, 'Token keys')]"
Email sent by Emma on 2023-12-20 from IP 198.51.100.160 with token key abc123def456ghi789jkl012mno345pq.,"[(14, 18, 'PER'), (22, 32, 'DATE'), (38, 51, 'IP-Address'), (62, 98, 'Token keys')]"
Server at location Oslo with IP 10.10.10.17 generated token key abcdef1234567890abcdef1234567890 on 2024-08-10.,"[(22, 26, 'LOC'), (32, 43, 'IP-Address'), (60, 96, 'Token keys'), (100, 110, 'DATE')]"
Backup size of 5120GB completed on 2024-04-05 from IP 192.168.1.40 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(15, 19, 'QUANTITY'), (29, 39, 'DATE'), (45, 56, 'IP-Address'), (67, 103, 'Token keys')]"
User with ID 35791 logged in from IP 8.8.8.8 on 2024-04-01 using token key 1234abcd5678efgh9012ijkl3456mnop.,"[(13, 18, 'CARDINAL'), (39, 46, 'IP-Address'), (50, 60, 'DATE'), (71, 107, 'Token keys')]"
Translator Liam used the language Swedish on 2024-03-10 to process data from IP 192.168.0.245 with token key zyxwvutsrqponmlkjihgfedcba987654.,"[(11, 15, 'PER'), (29, 36, 'LANGUAGE'), (40, 50, 'DATE'), (68, 81, 'IP-Address'), (92, 128, 'Token keys')]"
The device with IP fe80::abcd:1234:5678:9ac2 was assigned token key 0f1e2d3c4b5a69788776655443322110 on 2024-07-05.,"[(17, 48, 'IP-Address'), (69, 101, 'Token keys'), (105, 115, 'DATE')]"
Company 'ThetaTech' transferred $2800 from IP 198.51.100.95 with token key abcdefabcdefabcdefabcdefabcdefab on 2024-06-05.,"[(8, 18, 'ORG'), (33, 37, 'MONEY'), (43, 54, 'IP-Address'), (71, 107, 'Token keys'), (111, 121, 'DATE')]"
IP 10.20.80.80 was allocated to device with token key 1234567890abcdef1234567890abcdef on 2024-08-15.,"[(3, 13, 'IP-Address'), (44, 80, 'Token keys'), (84, 94, 'DATE')]"
